Date : 2025-12-29 18:11:18
Directory : e:\Development\Multan\Xtra App Studio\3.35.4\drivvo
Total : 214 files,  26481 codes, 1332 comments, 1967 blanks, all 29780 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        160 |     23,599 |      1,051 |      1,606 |     26,256 |
| JSON       |          7 |      1,205 |          0 |          4 |      1,209 |
| C++        |         16 |        567 |        135 |        191 |        893 |
| XML        |         10 |        480 |         55 |         18 |        553 |
| CMake      |          8 |        467 |          0 |         92 |        559 |
| Swift      |          6 |         69 |          7 |         21 |         97 |
| YAML       |          2 |         52 |         69 |         20 |        141 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |         10 |          0 |          1 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        214 |     26,481 |      1,332 |      1,967 |     29,780 |
| . (Files)                                                                                                                      |          4 |         82 |         69 |         27 |        178 |
| android                                                                                                                        |          9 |         86 |         53 |         16 |        155 |
| android (Files)                                                                                                                |          1 |          5 |          0 |          0 |          5 |
| android\app                                                                                                                    |          7 |         76 |         53 |         15 |        144 |
| android\app\src                                                                                                                |          7 |         76 |         53 |         15 |        144 |
| android\app\src\debug                                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                           |          5 |         70 |         45 |         13 |        128 |
| android\app\src\main (Files)                                                                                                   |          1 |         44 |         13 |          7 |         64 |
| android\app\src\main\res                                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                        |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                         |          2 |        937 |          0 |          0 |        937 |
| assets\lang                                                                                                                    |          2 |        937 |          0 |          0 |        937 |
| ios                                                                                                                            |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                             |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                                |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                            |        159 |     23,585 |      1,041 |      1,599 |     26,225 |
